CARID,Name,Receiving Waterbody ID,Receiving Waterbody Name,X,Y,XY Coordinates,Coordinate Description
WW002063490,Aghinlig WwTW,UKGBNI1NB030308225,Callan River (Derryscollop),287180,354098,287180 354098,Discharge Point Coordinates
WW002063509,Aghnagar WwTW,Undefined,Undefined,268053,363158,268053 363158,Coordinates of Asset (Discharge Point Unavailable)
WW002063667,Aghnaskew WwTW,UKGBNI1NW363602018,Colebrooke River (Maguiresbridge),235540,337651,235540 337651,Discharge Point Coordinates
WW002063439,Aghory WwTW,UKGBNI1NB030308110,Ballybay River,298676,345762,298676 345762,Discharge Point Coordinates
WW002064569,Agivey Road ST,UKGBNI1NB030308237,Agivey River (Bovagh),289410,421871,289410 421871,Discharge Point Coordinates
WW002064093,Aikens Town Parks WwTW,UKGBNI1NB030308206,Grange Water (Curran),287943,391577,287943 391577,Discharge Point Coordinates
WW002063742,Altamuskin North WwTW,UKGBNI1NW010104048,Cloghfin River (Ballykeel),258695,365205,258695 365205,Discharge Point Coordinates
WW002063618,Altishane WwTW,UKGBNI1NW010101071,Burn Dennet River (Ballynamallaght),246434,399220,246434 399220,Discharge Point Coordinates
WW002063371,Altmore River ST,UKGBNI1NB030308222,Torrent River,268532,367505,268532 367505,Discharge Point Coordinates
WW002064425,Altnahinch WwTW,UKGBNI1NE040405128,Bush River (Altnahinch),311603,423833,311603 423833,Discharge Point Coordinates
WW002063551,Altnamackan WwTW,UKGBNI1NB060603027,County Water,289217,324883,289217 324883,Discharge Point Coordinates
WW002064069,Annacloy WwTW,UKGBNI1NE050505115,Quoile River,344881,348674,344881 348674,Discharge Point Coordinates
WW002063446,Annaghmore Portadown WwTW,UKGBNI1NB030308238,Derrycaw Stream,290963,357559,290963 357559,Discharge Point Coordinates
WW002064476,Annaghmore Road Ballina ST,UKGBNI3NB0032,Lough Neagh,299156,388282,299156 388282,Coordinates of Asset (Discharge Point Unavailable)
WW002064460,Annaghquin Road ST,Undefined,Undefined,275388,371008,275388 371008,Coordinates of Asset (Discharge Point Unavailable)
WW002064049,Annahilt Ballycrune WwTW,UKGBNI1NE050505125,Ballynahinch River,331691,355828,331691 355828,Discharge Point Coordinates
WW002063453,Annahugh Road WwTW,UKGBNI1NB030307047,Kilmore Tributary,294086,351962,294086 351962,Discharge Point Coordinates
WW002064084,Annalong Coastal WwTW,UKGBNI6NB020,Mourne Coast,337368,318847,337368 318847,Discharge Point Coordinates
WW002064072,Annsborough WwTW,UKGBNI1NE050505113,Carrigs River,335567,336770,335567 336770,Discharge Point Coordinates
WW002064242,Antrim Milltown WwTW,UKGBNI3NB0032,Lough Neagh,312521,387572,312521 387572,Discharge Point Coordinates
WW002064034,Anville Crescent WwTW,UKGBNI1NB030308243,Lough Neagh Peripherals,301218,357196,301218 357196,Discharge Point Coordinates
WW002063705,Ardess WwTW,UKGBNI1NW363604055,Kesh River,220711,363136,220711 363136,Discharge Point Coordinates
WW002063376,Ardgarvan WwTW,UKGBNI1NW020202018,River Roe (Limavady),268257,420024,268257 420024,Discharge Point Coordinates
WW002064056,Ardglass WwTW,UKGBNI6NE190,Dundrum Bay Outer,357300,338265,357300 338265,Discharge Point Coordinates
WW002063597,Ardground WwTW,UKGBNI1NW020208259,Faughan River (Carnmoney),249466,407859,249466 407859,Discharge Point Coordinates
WW002063601,Ardlough Road ST,Undefined,Undefined,246939,416336,246939 416336,Coordinates of Asset (Discharge Point Unavailable)
WW002063447,Ardress WwTW,UKGBNI1NB030307129,Tall River (Derrycrew),290679,355443,290679 355443,Discharge Point Coordinates
WW004293441,Ards North WwTW,UKGBNI6NE200,Ards Penninsula,362917,372716,362917 372716,Discharge Point Coordinates
WW002063790,Ardstraw Derg WwTW,UKGBNI1NW010102095,Derg River (Millbrook),235221,387644,235221 387644,Discharge Point Coordinates
WW002063491,Armagh Drumcarn WwTW,UKGBNI1NB030308225,Callan River (Derryscollop),287490,347184,287490 347184,Discharge Point Coordinates
WW002063908,Armagh Road Church RBC,Undefined,Undefined,305792,330775,305792 330775,Coordinates of Asset (Discharge Point Unavailable)
WW002063899,Armagh Road Derrywilligan ST,UKGBNI1NB060608240,Bessbrook (Newry) River,306083,330335,306083 330335,Discharge Point Coordinates
WW002063897,Armagh Road Glassdrummond ST,Undefined,Undefined,306894,329242,306894 329242,Coordinates of Asset (Discharge Point Unavailable)
WW002064497,Armoy Bush WwTW,UKGBNI1NE040404001,Bush River (Armoy),306386,432599,306386 432599,Discharge Point Coordinates
WW002063697,Arney St Marys WwTW,UKGBNI1NW363604059,Arney River,221220,337860,221220 337860,Coordinates of Asset (Discharge Point Unavailable)
WW002063629,Artigarvan Station Road ST,UKGBNI1NW010101075,Glenmornan River,237744,401654,237744 401654,Discharge Point Coordinates
WW002063768,Arvalee WwTW,UKGBNI1NW010108257,Camowen River (Omagh),248860,372175,248860 372175,Discharge Point Coordinates
WW002063984,Ashfield Dromore WwTW,Undefined,Undefined,317335,351509,317335 351509,Coordinates of Asset (Discharge Point Unavailable)
WW002064081,Attical Tullyframe WwTW,UKGBNI1NB060604045,White Water River,327565,319363,327565 319363,Discharge Point Coordinates
WW002064292,Aughagash WwTW,UKGBNI1NE040403045,Owencloghy Water,328880,409082,328880 409082,Discharge Point Coordinates
WW002063668,Aughakillymaud WwTW,UKGBNI1NW363602063,Upper Lough Erne,226788,330858,226788 330858,Discharge Point Coordinates
WW002063937,Aughanduff ST,UKGBNI1NB060608228,Forkhill River,297180,321046,297180 321046,Discharge Point Coordinates
WW002063814,Augher Blackwater WwTW,UKGBNI1NB030308223,River Blackwater (Augher),256770,353887,256770 353887,Discharge Point Coordinates
WW002064288,Aughnacleagh WwTW,Undefined,Undefined,297867,407079,297867 407079,Coordinates of Asset (Discharge Point Unavailable)
WW002063536,Aughnacloy WwTW,UKGBNI1NB030307041,River Blackwater Tributary (Aughnacloy),266447,351706,266447 351706,Discharge Point Coordinates
WW002063855,Aughnavallog WwTW,UKGBNI1NB030308256,River Bann (Gilford),321328,336291,321328 336291,Discharge Point Coordinates
WW002064341,Backlower Road West ST,UKGBNI1NB030308243,Lough Neagh Peripherals,291430,369868,291430 369868,Discharge Point Coordinates
WW002063727,Badoney ST,UKGBNI1NW010102053,Owenreagh (Drumragh) River (Drumlish),232855,365156,232855 365156,Discharge Point Coordinates
WW002063649,Ballee Road Ballee WwTW,UKGBNI1NW010101075,Glenmornan River,237898,399991,237898 399991,Discharge Point Coordinates
WW002063789,Ballee Road Tullyard WwTW,Undefined,Undefined,235938,399315,235938 399315,Discharge Point Coordinates
WW002063980,Balleevy ST,Undefined,Undefined,316003,345304,316003 345304,Coordinates of Asset (Discharge Point Unavailable)
WW002063735,Ballinamallard  2 WwTW,UKGBNI1NW363601042,Ballinamallard River (Ballinamallard),226078,352879,226078 352879,Discharge Point Coordinates
WW002064254,Ballinderry Road Ballyellough ST,UKGBNI1NE050503106,Brookmount Stream,320074,366021,320074 366021,Discharge Point Coordinates
WW002064576,Ballinlea Road ST,Undefined,Undefined,303636,439170,303636 439170,Coordinates of Asset (Discharge Point Unavailable)
WW002064426,Ballinrees Gortycavan WwTW,UKGBNI1NB030301071,Bann Brook,280005,430215,280005 430215,Discharge Point Coordinates
WW002064549,Ballinteer WwTW,UKGBNI1NB030308220,Macosquin River (Macosquin),281521,431712,281521 431712,Discharge Point Coordinates
WW002064132,Ballintemple ST,Undefined,Undefined,304017,322016,304017 322016,Coordinates of Asset (Discharge Point Unavailable)
WW004208717,Ballintoy WwTW,GBNI8NE060,Bush,304720,444470,304720 444470,Discharge Point Coordinates
WW002063923,Ballsmill ST,UKGBNI1NB060608235,Cully Water,298344,313884,298344 313884,Discharge Point Coordinates
WW002064542,Ballyagan WwTW,UKGBNI1NB030308237,Agivey River (Bovagh),285450,416442,285450 416442,Discharge Point Coordinates
WW002064190,Ballyalton Road ST,GBNI8NE034,Strangford,346901,371922,346901 371922,Discharge Point Coordinates
WW002064080,Ballyardel WwTW,Undefined,Undefined,328440,313579,328440 313579,Coordinates of Asset (Discharge Point Unavailable)
WW002063947,Ballybarnes Road ST,UKGBNI1NE050504085,Cully's Burn,346234,376308,346234 376308,Discharge Point Coordinates
WW002064228,Ballybentragh Road ST,UKGBNI1NB030305122,Six mile Water (Antrim),320335,385126,320335 385126,Discharge Point Coordinates
WW002063864,Ballybrick ST,UKGBNI1NB030308256,River Bann (Gilford),319333,338010,319333 338010,Discharge Point Coordinates
WW002064166,Ballycairn WwTW,UKGBNI1NE050503108,River Lagan (Stranmillis),332967,364862,332967 364862,Discharge Point Coordinates
WW002064197,Ballycarry WwTW,UKGBNI6NE070,Larne Lough South,346579,394224,346579 394224,Discharge Point Coordinates
WW002063682,Ballycassidy WwTW,UKGBNI1NW363601042,Ballinamallard River (Ballinamallard),222958,350925,222958 350925,Discharge Point Coordinates
WW002064492,Ballycastle WwTW,UKGBNI6NE010,North Coast,314663,442002,314663 442002,Discharge Point Coordinates
WW002064229,Ballyclare WwTW,UKGBNI1NB030305204,Six Mile Water (Ballyclare),328087,390019,328087 390019,Discharge Point Coordinates
WW002064311,Ballycleagh WwTW,UKGBNI6NE030,North Channel,325301,433486,325301 433486,Discharge Point Coordinates
WW002064223,Ballycorr Grove WwTW,Undefined,Undefined,329968,393450,329968 393450,Coordinates of Asset (Discharge Point Unavailable)
WW002063868,Ballycoshone RBC,Undefined,Undefined,322521,331246,322521 331246,Coordinates of Asset (Discharge Point Unavailable)
WW002063825,Ballycranbeg WwTW,UKGBNI1NE050504022,Blackstaff (Ards) River,361566,359476,361566 359476,Discharge Point Coordinates
WW002064164,Ballycreely Road ST,UKGBNI1NE050504023,Comber Tributary,342540,366285,342540 366285,Discharge Point Coordinates
WW002063583,Ballycrochan Road ST,UKGBNI1NE050502084,Ballyholme River,353243,379478,353243 379478,Discharge Point Coordinates
WW002064233,Ballydonaghy Cottages ST,UKGBNI1NB030306087,Crumlin River (Crumlin),316532,376703,316532 376703,Discharge Point Coordinates
WW002064182,Ballydrain Road 39-43 ST,GBNI8NE053,Strangford,348270,367254,348270 367254,Discharge Point Coordinates
WW002063827,Ballyeasborough Road  ST,UKGBNI1NE050504022,Blackstaff (Ards) River,364222,361382,364222 361382,Discharge Point Coordinates
WW002063826,Ballyfrench Road ST,GBNI8NE029,Strangford,365838,361736,365838 361736,Discharge Point Coordinates
WW002063577,Ballygalget Road ST,Undefined,Undefined,362808,353250,362808 353250,Coordinates of Asset (Discharge Point Unavailable)
WW002063824,Ballygarvigan WwTW,Undefined,Undefined,362753,353089,362753 353089,Coordinates of Asset (Discharge Point Unavailable)
WW002063537,Ballygawley WwTW,UKGBNI1NB030307175,Ballygawley Water,262487,357204,262487 357204,Discharge Point Coordinates
WW002064183,Ballygowan Road 41-47 ST,UKGBNI1NE050504023,Comber Tributary,344197,367572,344197 367572,Discharge Point Coordinates
WW002064140,Ballygowan Road 102-104 ST,UKGBNI1NE050504057,Blackwater (Ards) River,343555,364444,343555 364444,Discharge Point Coordinates
WW002064007,Ballygowan Road 140-142 ST,UKGBNI1NB030308256,River Bann (Gilford),310623,344562,310623 344562,Discharge Point Coordinates
WW004429546,Ballygowan WwTW,Undefined,Undefined,343443,363743,343443 363743,Coordinates of Asset (Discharge Point Unavailable)
WW002063774,Ballygowans Omagh ST,Undefined,Undefined,242328,371240,242328 371240,Coordinates of Asset (Discharge Point Unavailable)
WW002064107,Ballygruby WwTW,UKGBNI1NB030306141,Salterstown River,287222,383761,287222 383761,Discharge Point Coordinates
WW002064552,Ballyhacket Road 2-8 ST,GBNI8NW015,Roe,274994,434602,274994 434602,Discharge Point Coordinates
WW002989993,Ballyhalbert Victoria WwTW,UKGBNI6NE200,Ards Penninsula,364472,364286,364472 364286,Discharge Point Coordinates
WW002063634,Ballyheather Road121-123 ST,UKGBNI1NW010101070,Burn Dennet River (Milltown),240965,404431,240965 404431,Discharge Point Coordinates
WW002064514,Ballyhome WwTW,UKGBNI1NE040405117,Burn Gushet River,289285,437685,289285 437685,Discharge Point Coordinates
WW002063847,Ballyhornan Outfall WwTW,UKGBNI6NE200,Ards Penninsula,359182,341364,359182 341364,Discharge Point Coordinates
WW002063582,Ballykeel Cottages ST,UKGBNI1NE050504080,Enler River (Dundonald),341597,376306,341597 376306,Discharge Point Coordinates
WW002064014,Ballykelly Craigavon WwTW,UKGBNI1NE050505127,River Lagan (Lisburn),312100,350510,312100 350510,Discharge Point Coordinates
WW002063413,Ballykelly WwTW,GBNI8NW017,Roe,262396,423432,262396 423432,Discharge Point Coordinates
WW002064060,Ballykinler MOD WwTW,Undefined,Undefined,343882,335357,343882 335357,Coordinates of Asset (Discharge Point Unavailable)
WW002064062,Ballykinler NIW WwTW,UKGBNI6NE190,Dundrum Bay Outer,343982,334805,343982 334805,Discharge Point Coordinates
WW002064543,Ballylintagh WwTW,UKGBNI1NB030301073,Macosquin River,285343,425426,285343 425426,Discharge Point Coordinates
WW002064193,Ballylumford Cottages ST,GBNI8NE003,Larne Lough,342021,402074,342021 402074,Discharge Point Coordinates
WW002063379,Ballymacallion WwTW,Undefined,Undefined,272922,413911,272922 413911,Coordinates of Asset (Discharge Point Unavailable)
WW002063467,Ballymacawley WwTW,Undefined,Undefined,293476,341134,293476 341134,Coordinates of Asset (Discharge Point Unavailable)
WW002063468,Ballymacnab WwTW,UKGBNI1NB030307048,Butter Water,289481,338200,289481 338200,Discharge Point Coordinates
WW002063877,Ballymaconaghy Road ST,UKGBNI1NB060604042,Moygannon River,315620,319747,315620 319747,Discharge Point Coordinates
WW002064133,Ballymaconaghy Warrenpoint ST,GBNI8NB049,Carlingford and Newry,315375,320002,315375 320002,Discharge Point Coordinates
WW002064403,Ballymacormick WwTW,UKGBNI1NE040405117,Burn Gushet River,293226,427423,293226 427423,Discharge Point Coordinates
WW002064082,Ballymaderfy WwTW,Undefined,Undefined,324886,315317,324886 315317,Coordinates of Asset (Discharge Point Unavailable)
WW002063624,Ballymagorry WwTW,UKGBNI1NW010101075,Glenmornan River,236972,401525,236972 401525,Discharge Point Coordinates
WW002064355,Ballymaguigan WwTW,UKGBNI1NB030308243,Lough Neagh Peripherals,294720,387860,294720 387860,Discharge Point Coordinates
WW002064104,Ballymaguire Road 33-35 ST,UKGBNI1NB030304138,Kingsmill River,286642,376058,286642 376058,Discharge Point Coordinates
WW002064259,Ballymarlagh WwTW,UKGBNI1NB030302017,Deerfin Burn,313796,401909,313796 401909,Discharge Point Coordinates
WW004124825,Ballymartin New ST,UKGBNI6NB020,Mourne Coast,334166,316178,334166 316178,Discharge Point Coordinates
WW002064274,Ballymena WwTW,UKGBNI1NB030302160,River Main (Slaght),308801,400130,308801 400130,Discharge Point Coordinates
WW002063571,Ballymiscaw Road 33-37 ST,UKGBNI1NE050504080,Enler River (Dundonald),341084,376054,341084 376054,Discharge Point Coordinates
WW002064396,Ballymoney WwTW,UKGBNI1NB030301214,Lower River Bann (Coleraine),290704,423366,290704 423366,Discharge Point Coordinates
WW002064019,Ballymore ST,UKGBNI1NB030308218,Cusher River (Tandragee),303345,347386,303345 347386,Discharge Point Coordinates
WW002063919,Ballymoyer WwTW,UKGBNI1NB030308113,Whitecross River,296636,330871,296636 330871,Discharge Point Coordinates
WW002064018,Ballynacorr WwTW,UKGBNI3NB0032,Lough Neagh,303432,362352,303432 362352,Discharge Point Coordinates
WW002064207,Ballynadolly WwTW,UKGBNI1NB030306193,Ballinderry River (Co. Antrim),319912,368361,319912 368361,Discharge Point Coordinates
WW002064286,Ballynafie WwTW,UKGBNI1NB030301149,Lower River Bann (Kilrea),300117,401758,300117 401758,Discharge Point Coordinates
WW002063469,Ballynagalliagh Armagh WwTW,Undefined,Undefined,286902,340544,286902 340544,Coordinates of Asset (Discharge Point Unavailable)
WW002064484,Ballynagard Ballyvoy WwTW,UKGBNI1NE040405119,Glenshesk River,314792,439133,314792 439133,Discharge Point Coordinates
WW002063531,Ballynahaye Road 1-3 ST,UKGBNI1NB030307175,Ballygawley Water,267178,361356,267178 361356,Discharge Point Coordinates
WW002063448,Ballynahinch Armagh WwTW,UKGBNI1NB030308224,Tall River (Rich Hill),295554,347598,295554 347598,Coordinates of Asset (Discharge Point Unavailable)
WW002064162,Ballynahinch WwTW,UKGBNI1NE050505125,Ballynahinch River,337498,351803,337498 351803,Discharge Point Coordinates
WW002064475,Ballynamullan Road 32-34 ST,UKGBNI3NB0032,Lough Neagh,301032,385689,301032 385689,Discharge Point Coordinates
WW002063777,Ballynamullan WwTW,Undefined,Undefined,248201,372979,248201 372979,Coordinates of Asset (Discharge Point Unavailable)
WW002064219,Ballynashee Road 71-77 ST,UKGBNI1NB030308215,Doagh River,327032,396076,327032 396076,Discharge Point Coordinates
WW002064315,Ballynease Road 160-164 ST,Undefined,Undefined,296612,402220,296612 402220,Coordinates of Asset (Discharge Point Unavailable)
WW002064323,Ballynease WwTW,UKGBNI1NB030301149,Lower River Bann (Kilrea),296839,401389,296839 401389,Discharge Point Coordinates
WW002063378,Ballyquin WwTW,UKGBNI1NW020202018,River Roe (Limavady),268676,418121,268676 418121,Discharge Point Coordinates
WW002063952,Ballyrainey Road 65-67 ST,UKGBNI1NE050504020,Enler River (Comber),345550,372152,345550 372152,Discharge Point Coordinates
WW002064570,Ballyrashane Road 21 ST,UKGBNI1NB030301223,Ballyversal Stream,286894,432731,286894 432731,Discharge Point Coordinates
WW002064512,Ballyrashane Road 37-39 WwTW,UKGBNI1NB030301223,Ballyversal Stream,287627,433022,287627 433022,Discharge Point Coordinates
WW002064508,Ballyrock WwTW,UKGBNI1NE040404042,Bush River (Bushmills),293153,435248,293153 435248,Discharge Point Coordinates
WW002064347,Ballyronan WwTW,UKGBNI3NB0032,Lough Neagh,295008,384725,295008 384725,Discharge Point Coordinates
WW002063856,Ballyroney Road 50-60 ST,UKGBNI1NB030308187,Drumadonnell River,322789,338432,322789 338432,Discharge Point Coordinates
WW002063878,Ballyrussel WwTW,UKGBNI1NB060604042,Moygannon River,315505,320989,315505 320989,Discharge Point Coordinates
WW002064196,Ballystrudder WwTW,UKGBNI6NE030,North Channel,348947,394428,348947 394428,Discharge Point Coordinates
WW002064141,Ballytrim WwTW,UKGBNI1NE050504009,Dibney River,349561,352730,349561 352730,Discharge Point Coordinates
WW002064231,Ballyutoag 263-265 ST,UKGBNI1NB030305207,Clady Water,325385,378843,325385 378843,Discharge Point Coordinates
WW002064008,Ballyvarley ST,UKGBNI1NB030308256,River Bann (Gilford),309645,345302,309645 345302,Discharge Point Coordinates
WW002064382,Ballyveely ST,UKGBNI1NE040404050,Flesk Water,306669,425614,306669 425614,Discharge Point Coordinates
WW002064427,Ballyvelton Road 21-23 WwTW,UKGBNI1NB030301223,Ballyversal Stream,289147,432363,289147 432363,Discharge Point Coordinates
WW002064362,Ballyvelton Road 45-51 ST,UKGBNI1NB030301219,River Bann tributary,289044,431683,289044 431683,Discharge Point Coordinates
WW002064480,Ballyvoy WwTW,UKGBNI1NE040405118,Carey River,315180,440471,315180 440471,Discharge Point Coordinates
WW002063854,Ballyward RBC,UKGBNI1NB030308187,Drumadonnell River,326206,338575,326206 338575,Discharge Point Coordinates
WW002064009,Banbridge WwTW,UKGBNI1NB030308256,River Bann (Gilford),311871,346798,311871 346798,Discharge Point Coordinates
WW002063884,Bankside Shinn WwTW,UKGBNI1NB060601003,Clanrye North River,313231,331543,313231 331543,Discharge Point Coordinates
WW002063568,Bar Hall WwTW,UKGBNI6NE170,Strangford Lough South,360259,348818,360259 348818,Discharge Point Coordinates
WW002064471,Battery Road 43-45 ST,Undefined,Undefined,292693,377382,292693 377382,Coordinates of Asset (Discharge Point Unavailable)
WW002064359,Beagh WwTW,UKGBNI1NB030308234,Grillagh River,288282,399533,288282 399533,Discharge Point Coordinates
WW002063811,Bearney Road 55-61 ST,UKGBNI1NW010102074,Mourne River,236223,392172,236223 392172,Discharge Point Coordinates
WW002595924,Beech Hill South WwTW,UKGBNI1NB060608227,Newry River,309651,331496,309651 331496,Discharge Point Coordinates
WW002063694,Belcoo WwTW,UKGBNI1NW363602092,Belcoo River,208248,338449,208248 338449,Discharge Point Coordinates
WW002064212,Belfast Road 56-58 ST,Undefined,Undefined,337006,400541,337006 400541,Coordinates of Asset (Discharge Point Unavailable)
WW002063955,Belfast WwTW,UKGBNI6NE180,Belfast Harbour,336096,378419,336096 378419,Discharge Point Coordinates
WW002064330,Bellaghy WwTW,UKGBNI1NB030301169,Lower River Bann (Toome),295608,396092,295608 396092,Discharge Point Coordinates
WW002064553,Bellany WwTW,UKGBNI1NB030301071,Bann Brook,280749,433173,280749 433173,Discharge Point Coordinates
WW002063719,Belleek Fermanagh WwTW,UKGBNI1NW363604085,Erne River (Belleek),194174,358696,194174 358696,Discharge Point Coordinates
WW002063732,Belleek Graffy ST,UKGBNI1NW363604085,Erne River (Belleek),194503,358656,194503 358656,Coordinates of Asset (Discharge Point Unavailable)
WW002063935,Belleek Newry WwTW,UKGBNI1NB030308114,Cusher River (Windy Gap),299766,329553,299766 329553,Discharge Point Coordinates
WW002064066,Bells Hill WwTW,GBNI8NE032,Strangford,347078,348921,347078 348921,Discharge Point Coordinates
WW002064335,Bellshill Road 63-65 ST,UKGBNI1NB030303144,Magherafelt Burn,293097,391108,293097 391108,Discharge Point Coordinates
WW002064328,Bellshill Road 83-85 ST,UKGBNI1NB030303144,Magherafelt Burn,293091,391050,293091 391050,Discharge Point Coordinates
WW002063754,Beltrim WwTW,UKGBNI1NW010102027,Owenkillew River (Gortin),248547,385974,248547 385974,Discharge Point Coordinates
WW002063501,Benburb WwTW,UKGBNI1NB030307043,River Blackwater (Benburb),281955,351942,281955 351942,Discharge Point Coordinates
WW002064406,Benvardin Road WwTW,UKGBNI1NE040405117,Burn Gushet River,293267,432699,293267 432699,Discharge Point Coordinates
WW002063759,Beragh WwTW,UKGBNI1NW010102035,Cloghfin River (Beragh),254508,367538,254508 367538,Discharge Point Coordinates
WW002063985,Blackskull WwTW,UKGBNI1NE050505127,River Lagan (Lisburn),314227,352285,314227 352285,Discharge Point Coordinates
WW002063829,Blackstaff ST,UKGBNI1NE050504022,Blackstaff (Ards) River,360440,359445,360440 359445,Coordinates of Asset (Discharge Point Unavailable)
WW002063503,Blackwatertown WwTW,UKGBNI1NB030308203,River Blackwater (Argory),284413,352783,284413 352783,Discharge Point Coordinates
WW002063714,Blaney WwTW,UKGBNI1NW363601041,Blackslee Burn,214510,353623,214510 353623,Discharge Point Coordinates
WW002064511,Boghill Road 52-54 WwTW,UKGBNI1NB030301223,Ballyversal Stream,287561,433166,287561 433166,Discharge Point Coordinates
WW002064510,Boghill WwTW,UKGBNI1NB030301223,Ballyversal Stream,287328,433745,287328 433745,Discharge Point Coordinates
WW002063669,Bohulkin WwTW,UKGBNI1NW363602018,Colebrooke River (Maguiresbridge),235593,347285,235593 347285,Discharge Point Coordinates
WW002063407,Bolea WwTW,UKGBNI1NW020204060,Curly River,271290,425617,271290 425617,Discharge Point Coordinates
WW002064558,Boleran Road Garvagh WwTW,UKGBNI1NB030301224,Mettican River,282557,417331,282557 417331,Discharge Point Coordinates
WW002063603,Bonds Glen Road 65-67 ST,UKGBNI1NW020208259,Faughan River (Carnmoney),248126,405682,248126 405682,Discharge Point Coordinates
WW002063604,Bonds Glen Road 149-151 ST,UKGBNI1NW020208259,Faughan River (Carnmoney),250839,407148,250839 407148,Discharge Point Coordinates
WW002063380,Bonnanaboigh WwTW,UKGBNI1NW020202014,Bovevagh River,267998,413697,267998 413697,Discharge Point Coordinates
WW002063522,Bovean WwTW,UKGBNI1NB030307050,Tamnamore Stream,286492,360211,286492 360211,Discharge Point Coordinates
WW002064537,Boveedy WwTW,Undefined,Undefined,287990,413839,287990 413839,Coordinates of Asset (Discharge Point Unavailable)
WW002063610,Bovevagh Road 37-41 ST,UKGBNI1NW020202014,Bovevagh River,267404,413916,267404 413916,Discharge Point Coordinates
WW002064115,Braeside Cottages 1-6 WwTW,Undefined,Undefined,278019,379113,278019 379113,Coordinates of Asset (Discharge Point Unavailable)
WW002063510,Brantry WwTW,UKGBNI1NB030308217,Oona Water (Eglish),275321,352334,275321 352334,Discharge Point Coordinates
WW002063646,Bready WwTW,UKGBNI5NW250030,Upper Foyle,235972,407377,235972 407377,Discharge Point Coordinates
WW002064373,Bregagh Road 56-58 ST,UKGBNI1NE040404001,Bush River (Armoy),304866,431451,304866 431451,Discharge Point Coordinates
